nganh_cap_1,nganh_cap_2,nganh_cap_3,nganh_cap_4,nganh_cap_5,ma_nganh,mo_ta_vi_du
Sắc Đẹp,Trang điểm,Trang điểm mặt,Che khuyết điểm,-,101631,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Tạo khối & bắt sáng,-,101632,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Xịt giữ makeup,-,101633,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Má hồng,-,101634,
Sắc Đẹp,Trang điểm,Trang điểm mặt,Khác,-,101635,
Sắc Đẹp,Trang điểm,Trang điểm mắt,Phấn mắt,-,101636,
Sắc Đẹp,Trang điểm,Trang điểm mắt,Kem lót mắt,-,101637,
Sắc Đẹp,Trang điểm,Trang điểm mắt,Bút kẻ mắt,-,101638,
Sắc Đẹp,Trang điểm,Trang điểm mắt,Mascara,-,101639,
Sắc Đẹp,Trang điểm,Trang điểm mắt,Kẻ mày,-,101640,
Sắc Đẹp,Trang điểm,Trang điểm môi,Son môi,-,101642,
Sắc Đẹp,Trang điểm,Trang điểm môi,Son bóng,-,101643,
Sắc Đẹp,Trang điểm,Trang điểm môi,Viền môi,-,101644,
Sắc Đẹp,Trang điểm,Trang điểm môi,Son tint,-,101645,
Sắc Đẹp,Trang điểm,Trang điểm môi,Son làm căng môi,-,101646,
Sắc Đẹp,Trang điểm,Tẩy trang,-,-,100884,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Bông tẩy trang,-,101649,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Túi đựng đồ trang điểm,-,101650,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Gương,-,101651,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Dung dịch làm sạch cọ trang điểm,-,101652,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Cọ trang điểm,-,101653,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Bông mút trang điểm,-,101654,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Kẹp bấm mi,-,101655,
Sắc Đẹp,Dụng cụ làm đẹp,Dụng cụ trang điểm,Khuôn kẻ chân mày,-,101656,
